"","State","Year","variable","value"
"108","AL",1995,"Fatalities",27
"109","AL",1996,"Fatalities",16
"110","AL",1997,"Fatalities",3
"111","AL",1998,"Fatalities",50
"112","AL",1999,"Fatalities",11
"113","AL",2000,"Fatalities",21
"114","AL",2001,"Fatalities",14
"115","AL",2002,"Fatalities",21
"116","AL",2003,"Fatalities",4
"117","AL",2004,"Fatalities",5
"118","AL",2005,"Fatalities",8
"119","AL",2006,"Fatalities",2
"120","AL",2007,"Fatalities",19
"121","AL",2008,"Fatalities",15
"122","AL",2009,"Fatalities",6
"123","AL",2010,"Fatalities",8
"124","AL",2011,"Fatalities",246
"125","AR",1950,"Fatalities",2
"126","AR",1951,"Fatalities",0
"127","AR",1952,"Fatalities",112
"128","AR",1953,"Fatalities",0
"129","AR",1954,"Fatalities",1
"130","AR",1955,"Fatalities",2
"131","AR",1956,"Fatalities",1
"132","AR",1957,"Fatalities",3
"133","AR",1958,"Fatalities",0
"134","AR",1959,"Fatalities",3
"135","AR",1960,"Fatalities",1
"136","AR",1961,"Fatalities",7
"137","AR",1962,"Fatalities",0
"138","AR",1963,"Fatalities",0
"139","AR",1964,"Fatalities",1
"140","AR",1965,"Fatalities",6
"141","AR",1966,"Fatalities",0
"142","AR",1967,"Fatalities",0
"143","AR",1968,"Fatalities",65
"144","AR",1969,"Fatalities",0
"145","AR",1970,"Fatalities",1
"146","AR",1971,"Fatalities",0
"147","AR",1972,"Fatalities",0
"148","AR",1973,"Fatalities",5
"149","AR",1974,"Fatalities",4
"150","AR",1975,"Fatalities",8
"151","AR",1976,"Fatalities",9
"152","AR",1977,"Fatalities",1
"153","AR",1978,"Fatalities",2
"154","AR",1979,"Fatalities",1
"155","AR",1980,"Fatalities",1
"156","AR",1981,"Fatalities",0
"157","AR",1982,"Fatalities",19
"158","AR",1983,"Fatalities",0
"159","AR",1984,"Fatalities",9
"160","AR",1985,"Fatalities",3
"161","AR",1986,"Fatalities",3
"162","AR",1987,"Fatalities",7
"163","AR",1988,"Fatalities",8
"164","AR",1989,"Fatalities",0
"165","AR",1990,"Fatalities",3
"166","AR",1991,"Fatalities",0
"167","AR",1992,"Fatalities",0
"168","AR",1993,"Fatalities",1
"169","AR",1994,"Fatalities",1
"170","AR",1995,"Fatalities",12
"171","AR",1996,"Fatalities",12
"172","AR",1997,"Fatalities",31
"173","AR",1998,"Fatalities",10
"174","AR",1999,"Fatalities",24
"175","AR",2000,"Fatalities",5
"176","AR",2001,"Fatalities",6
"177","AR",2002,"Fatalities",6
"178","AR",2003,"Fatalities",0
"179","AR",2004,"Fatalities",3
"180","AR",2005,"Fatalities",4
"181","AR",2006,"Fatalities",6
"182","AR",2007,"Fatalities",6
"183","AR",2008,"Fatalities",33
"184","AR",2009,"Fatalities",10
"185","AR",2010,"Fatalities",32
"186","AR",2011,"Fatalities",40
"187","AZ",1950,"Fatalities",0
"188","AZ",1951,"Fatalities",0
"189","AZ",1952,"Fatalities",0
"190","AZ",1953,"Fatalities",0
"191","AZ",1954,"Fatalities",0
"192","AZ",1955,"Fatalities",0
"193","AZ",1956,"Fatalities",0
"194","AZ",1957,"Fatalities",0
"195","AZ",1958,"Fatalities",0
"196","AZ",1959,"Fatalities",0
"197","AZ",1960,"Fatalities",0
"198","AZ",1961,"Fatalities",0
"199","AZ",1962,"Fatalities",0
"200","AZ",1963,"Fatalities",0
"201","AZ",1964,"Fatalities",2
"202","AZ",1965,"Fatalities",0
"203","AZ",1966,"Fatalities",0
"204","AZ",1967,"Fatalities",0
"205","AZ",1968,"Fatalities",0
"206","AZ",1969,"Fatalities",0
"207","AZ",1970,"Fatalities",0
"208","AZ",1971,"Fatalities",0
"209","AZ",1972,"Fatalities",0
"210","AZ",1973,"Fatalities",0
"211","AZ",1974,"Fatalities",1
"212","AZ",1975,"Fatalities",0
"213","AZ",1976,"Fatalities",0
"214","AZ",1977,"Fatalities",0
"215","AZ",1978,"Fatalities",0
"216","AZ",1979,"Fatalities",0
"217","AZ",1980,"Fatalities",0
"218","AZ",1981,"Fatalities",0
"219","AZ",1982,"Fatalities",0
"220","AZ",1983,"Fatalities",0
"221","AZ",1984,"Fatalities",0
"222","AZ",1985,"Fatalities",0
"223","AZ",1986,"Fatalities",0
"224","AZ",1987,"Fatalities",0
"225","AZ",1988,"Fatalities",3
"226","AZ",1989,"Fatalities",0
"227","AZ",1990,"Fatalities",6
"228","AZ",1991,"Fatalities",0
"229","AZ",1992,"Fatalities",0
"230","AZ",1993,"Fatalities",4
"231","AZ",1994,"Fatalities",2
"232","AZ",1995,"Fatalities",15
"233","AZ",1996,"Fatalities",0
"234","AZ",1997,"Fatalities",26
"235","AZ",1998,"Fatalities",7
"236","AZ",1999,"Fatalities",4
"237","AZ",2000,"Fatalities",11
"238","AZ",2001,"Fatalities",8
"239","AZ",2002,"Fatalities",1
"240","AZ",2003,"Fatalities",5
"241","AZ",2004,"Fatalities",3
"242","AZ",2005,"Fatalities",59
"243","AZ",2006,"Fatalities",21
"244","AZ",2007,"Fatalities",7
"245","AZ",2008,"Fatalities",9
"246","AZ",2009,"Fatalities",2
"247","AZ",2010,"Fatalities",4
"248","AZ",2011,"Fatalities",8
"249","CA",1950,"Fatalities",0
"250","CA",1951,"Fatalities",0
"251","CA",1952,"Fatalities",0
"252","CA",1953,"Fatalities",0
"253","CA",1954,"Fatalities",0
"254","CA",1955,"Fatalities",0
"255","CA",1956,"Fatalities",0
"256","CA",1957,"Fatalities",0
"257","CA",1958,"Fatalities",0
"258","CA",1959,"Fatalities",0
"259","CA",1960,"Fatalities",0
"260","CA",1961,"Fatalities",0
"261","CA",1962,"Fatalities",0
"262","CA",1963,"Fatalities",0
"263","CA",1964,"Fatalities",0
"264","CA",1965,"Fatalities",0
"265","CA",1966,"Fatalities",0
"266","CA",1967,"Fatalities",0
"267","CA",1968,"Fatalities",0
"268","CA",1969,"Fatalities",0
"269","CA",1970,"Fatalities",0
"270","CA",1971,"Fatalities",0
"271","CA",1972,"Fatalities",0
"272","CA",1973,"Fatalities",0
"273","CA",1974,"Fatalities",0
"274","CA",1975,"Fatalities",0
"275","CA",1976,"Fatalities",0
"276","CA",1977,"Fatalities",0
"277","CA",1978,"Fatalities",0
"278","CA",1979,"Fatalities",0
"279","CA",1980,"Fatalities",0
"280","CA",1981,"Fatalities",0
"281","CA",1982,"Fatalities",0
"282","CA",1983,"Fatalities",0
"283","CA",1984,"Fatalities",0
"284","CA",1985,"Fatalities",0
"285","CA",1986,"Fatalities",0
"286","CA",1987,"Fatalities",0
"287","CA",1988,"Fatalities",0
"288","CA",1989,"Fatalities",0
"289","CA",1990,"Fatalities",0
"290","CA",1991,"Fatalities",0
"291","CA",1992,"Fatalities",0
"292","CA",1993,"Fatalities",31
"293","CA",1994,"Fatalities",10
"294","CA",1995,"Fatalities",11
"295","CA",1996,"Fatalities",25
"296","CA",1997,"Fatalities",43
"297","CA",1998,"Fatalities",43
"298","CA",1999,"Fatalities",32
"299","CA",2000,"Fatalities",42
"300","CA",2001,"Fatalities",17
"301","CA",2002,"Fatalities",25
"302","CA",2003,"Fatalities",56
"303","CA",2004,"Fatalities",18
"304","CA",2005,"Fatalities",25
"305","CA",2006,"Fatalities",83
"306","CA",2007,"Fatalities",27
"307","CA",2008,"Fatalities",13
"308","CA",2009,"Fatalities",21
"309","CA",2010,"Fatalities",17
"310","CA",2011,"Fatalities",11
"311","CO",1950,"Fatalities",0
"312","CO",1951,"Fatalities",0
"313","CO",1952,"Fatalities",0
"314","CO",1953,"Fatalities",0
"315","CO",1954,"Fatalities",0
"316","CO",1955,"Fatalities",0
"317","CO",1956,"Fatalities",0
"318","CO",1957,"Fatalities",0
"319","CO",1958,"Fatalities",0
"320","CO",1959,"Fatalities",0
"321","CO",1960,"Fatalities",2
"322","CO",1961,"Fatalities",0
"323","CO",1962,"Fatalities",0
"324","CO",1963,"Fatalities",0
"325","CO",1964,"Fatalities",0
"326","CO",1965,"Fatalities",0
"327","CO",1966,"Fatalities",0
"328","CO",1967,"Fatalities",0
"329","CO",1968,"Fatalities",0
"330","CO",1969,"Fatalities",0
"331","CO",1970,"Fatalities",0
"332","CO",1971,"Fatalities",0
"333","CO",1972,"Fatalities",0
"334","CO",1973,"Fatalities",0
"335","CO",1974,"Fatalities",0
"336","CO",1975,"Fatalities",0
"337","CO",1976,"Fatalities",0
"338","CO",1977,"Fatalities",0
"339","CO",1978,"Fatalities",0
"340","CO",1979,"Fatalities",0
"341","CO",1980,"Fatalities",0
"342","CO",1981,"Fatalities",0
"343","CO",1982,"Fatalities",0
"344","CO",1983,"Fatalities",0
"345","CO",1984,"Fatalities",0
"346","CO",1985,"Fatalities",0
"347","CO",1986,"Fatalities",0
"348","CO",1987,"Fatalities",1
"349","CO",1988,"Fatalities",0
"350","CO",1989,"Fatalities",0
"351","CO",1990,"Fatalities",0
"352","CO",1991,"Fatalities",0
"353","CO",1992,"Fatalities",0
"354","CO",1993,"Fatalities",1
"355","CO",1994,"Fatalities",5
"356","CO",1995,"Fatalities",7
"357","CO",1996,"Fatalities",11
"358","CO",1997,"Fatalities",30
"359","CO",1998,"Fatalities",10
"360","CO",1999,"Fatalities",9
"361","CO",2000,"Fatalities",6
"362","CO",2001,"Fatalities",5
"363","CO",2002,"Fatalities",7
"364","CO",2003,"Fatalities",8
"365","CO",2004,"Fatalities",7
"366","CO",2005,"Fatalities",13
"367","CO",2006,"Fatalities",9
"368","CO",2007,"Fatalities",7
"369","CO",2008,"Fatalities",11
"370","CO",2009,"Fatalities",3
"371","CO",2010,"Fatalities",9
"372","CO",2011,"Fatalities",2
"373","CT",1950,"Fatalities",0
"374","CT",1951,"Fatalities",0
"375","CT",1952,"Fatalities",0
"376","CT",1953,"Fatalities",0
"377","CT",1954,"Fatalities",0
"378","CT",1955,"Fatalities",0
"379","CT",1956,"Fatalities",0
"380","CT",1957,"Fatalities",0
"381","CT",1958,"Fatalities",0
"382","CT",1959,"Fatalities",0
"383","CT",1960,"Fatalities",0
"384","CT",1961,"Fatalities",0
"385","CT",1962,"Fatalities",1
"386","CT",1963,"Fatalities",0
"387","CT",1964,"Fatalities",0
"388","CT",1965,"Fatalities",0
"389","CT",1966,"Fatalities",0
"390","CT",1967,"Fatalities",0
"391","CT",1968,"Fatalities",0
"392","CT",1969,"Fatalities",0
"393","CT",1970,"Fatalities",0
"394","CT",1971,"Fatalities",0
"395","CT",1972,"Fatalities",0
"396","CT",1973,"Fatalities",0
"397","CT",1974,"Fatalities",0
"398","CT",1975,"Fatalities",0
"399","CT",1976,"Fatalities",0
"400","CT",1977,"Fatalities",0
"401","CT",1978,"Fatalities",0
"402","CT",1979,"Fatalities",3
"403","CT",1980,"Fatalities",0
"404","CT",1981,"Fatalities",0
"405","CT",1982,"Fatalities",0
"406","CT",1983,"Fatalities",0
"407","CT",1984,"Fatalities",0
"408","CT",1985,"Fatalities",0
"409","CT",1986,"Fatalities",0
"410","CT",1987,"Fatalities",0
"411","CT",1988,"Fatalities",0
"412","CT",1989,"Fatalities",1
"413","CT",1990,"Fatalities",0
"414","CT",1991,"Fatalities",0
"415","CT",1992,"Fatalities",0
"416","CT",1993,"Fatalities",0
"417","CT",1994,"Fatalities",0
"418","CT",1995,"Fatalities",1
"419","CT",1996,"Fatalities",5
"420","CT",1997,"Fatalities",6
"421","CT",1998,"Fatalities",1
"422","CT",1999,"Fatalities",1
"423","CT",2000,"Fatalities",2
"424","CT",2001,"Fatalities",0
"425","CT",2002,"Fatalities",5
"426","CT",2003,"Fatalities",0
"427","CT",2004,"Fatalities",0
"428","CT",2005,"Fatalities",3
"429","CT",2006,"Fatalities",1
"430","CT",2007,"Fatalities",0
"431","CT",2008,"Fatalities",2
"432","CT",2009,"Fatalities",3
"433","CT",2010,"Fatalities",3
"434","CT",2011,"Fatalities",3
"435","DE",1950,"Fatalities",0
"436","DE",1951,"Fatalities",0
"437","DE",1952,"Fatalities",0
"438","DE",1953,"Fatalities",0
"439","DE",1954,"Fatalities",0
"440","DE",1955,"Fatalities",0
"441","DE",1956,"Fatalities",0
"442","DE",1957,"Fatalities",0
"443","DE",1958,"Fatalities",0
"444","DE",1959,"Fatalities",0
"445","DE",1960,"Fatalities",0
"446","DE",1961,"Fatalities",0
"447","DE",1962,"Fatalities",0
"448","DE",1963,"Fatalities",0
"449","DE",1964,"Fatalities",0
"450","DE",1965,"Fatalities",0
"451","DE",1966,"Fatalities",0
"452","DE",1967,"Fatalities",0
"453","DE",1968,"Fatalities",0
"454","DE",1969,"Fatalities",0
"455","DE",1970,"Fatalities",0
"456","DE",1971,"Fatalities",0
"457","DE",1972,"Fatalities",0
"458","DE",1973,"Fatalities",0
"459","DE",1974,"Fatalities",0
"460","DE",1975,"Fatalities",0
"461","DE",1976,"Fatalities",0
"462","DE",1977,"Fatalities",0
"463","DE",1978,"Fatalities",0
"464","DE",1979,"Fatalities",0
"465","DE",1980,"Fatalities",0
"466","DE",1981,"Fatalities",0
"467","DE",1982,"Fatalities",0
"468","DE",1983,"Fatalities",2
"469","DE",1984,"Fatalities",0
"470","DE",1985,"Fatalities",0
"471","DE",1986,"Fatalities",0
"472","DE",1987,"Fatalities",0
"473","DE",1988,"Fatalities",0
"474","DE",1989,"Fatalities",0
"475","DE",1990,"Fatalities",0
"476","DE",1991,"Fatalities",0
"477","DE",1992,"Fatalities",0
"478","DE",1993,"Fatalities",1
"479","DE",1994,"Fatalities",0
"480","DE",1995,"Fatalities",3
"481","DE",1996,"Fatalities",0
"482","DE",1997,"Fatalities",0
"483","DE",1998,"Fatalities",2
"484","DE",1999,"Fatalities",6
"485","DE",2000,"Fatalities",0
"486","DE",2001,"Fatalities",1
"487","DE",2002,"Fatalities",1
"488","DE",2003,"Fatalities",0
"489","DE",2004,"Fatalities",1
"490","DE",2005,"Fatalities",1
"491","DE",2006,"Fatalities",2
"492","DE",2007,"Fatalities",4
"493","DE",2008,"Fatalities",0
"494","DE",2009,"Fatalities",0
"495","DE",2010,"Fatalities",2
"496","DE",2011,"Fatalities",4
"497","FL",1950,"Fatalities",0
"498","FL",1951,"Fatalities",3
"499","FL",1952,"Fatalities",0
"500","FL",1953,"Fatalities",0
"501","FL",1954,"Fatalities",2
"502","FL",1955,"Fatalities",0
"503","FL",1956,"Fatalities",0
"504","FL",1957,"Fatalities",0
"505","FL",1958,"Fatalities",1
"506","FL",1959,"Fatalities",1
"507","FL",1960,"Fatalities",1
"508","FL",1961,"Fatalities",0
"509","FL",1962,"Fatalities",18
"510","FL",1963,"Fatalities",0
"511","FL",1964,"Fatalities",0
"512","FL",1965,"Fatalities",0
"513","FL",1966,"Fatalities",11
"514","FL",1967,"Fatalities",2
"515","FL",1968,"Fatalities",4
"516","FL",1969,"Fatalities",0
"517","FL",1970,"Fatalities",0
"518","FL",1971,"Fatalities",0
"519","FL",1972,"Fatalities",1
"520","FL",1973,"Fatalities",1
"521","FL",1974,"Fatalities",1
"522","FL",1975,"Fatalities",2
"523","FL",1976,"Fatalities",1
"524","FL",1977,"Fatalities",1
"525","FL",1978,"Fatalities",3
"526","FL",1979,"Fatalities",1
"527","FL",1980,"Fatalities",1
"528","FL",1981,"Fatalities",0
"529","FL",1982,"Fatalities",2
"530","FL",1983,"Fatalities",5
"531","FL",1984,"Fatalities",0
"532","FL",1985,"Fatalities",2
"533","FL",1986,"Fatalities",0
"534","FL",1987,"Fatalities",2
"535","FL",1988,"Fatalities",5
"536","FL",1989,"Fatalities",3
"537","FL",1990,"Fatalities",1
"538","FL",1991,"Fatalities",2
"539","FL",1992,"Fatalities",5
"540","FL",1993,"Fatalities",55
"541","FL",1994,"Fatalities",24
"542","FL",1995,"Fatalities",41
"543","FL",1996,"Fatalities",38
"544","FL",1997,"Fatalities",20
"545","FL",1998,"Fatalities",75
"546","FL",1999,"Fatalities",15
"547","FL",2000,"Fatalities",17
"548","FL",2001,"Fatalities",40
"549","FL",2002,"Fatalities",30
"550","FL",2003,"Fatalities",51
"551","FL",2004,"Fatalities",61
"552","FL",2005,"Fatalities",31
"553","FL",2006,"Fatalities",21
"554","FL",2007,"Fatalities",51
"555","FL",2008,"Fatalities",27
"556","FL",2009,"Fatalities",35
"557","FL",2010,"Fatalities",21
"558","FL",2011,"Fatalities",11
"559","GA",1950,"Fatalities",0
"560","GA",1951,"Fatalities",0
"561","GA",1952,"Fatalities",0
"562","GA",1953,"Fatalities",22
"563","GA",1954,"Fatalities",10
"564","GA",1955,"Fatalities",4
"565","GA",1956,"Fatalities",0
"566","GA",1957,"Fatalities",3
"567","GA",1958,"Fatalities",0
"568","GA",1959,"Fatalities",0
"569","GA",1960,"Fatalities",0
"570","GA",1961,"Fatalities",1
"571","GA",1962,"Fatalities",0
"572","GA",1963,"Fatalities",1
"573","GA",1964,"Fatalities",2
"574","GA",1965,"Fatalities",0
"575","GA",1966,"Fatalities",0
"576","GA",1967,"Fatalities",0
"577","GA",1968,"Fatalities",0
"578","GA",1969,"Fatalities",0
"579","GA",1970,"Fatalities",1
"580","GA",1971,"Fatalities",2
"581","GA",1972,"Fatalities",1
"582","GA",1973,"Fatalities",3
"583","GA",1974,"Fatalities",20
"584","GA",1975,"Fatalities",5
"585","GA",1976,"Fatalities",0
"586","GA",1977,"Fatalities",1
"587","GA",1978,"Fatalities",0
"588","GA",1979,"Fatalities",0
"589","GA",1980,"Fatalities",0
"590","GA",1981,"Fatalities",0
"591","GA",1982,"Fatalities",0
"592","GA",1983,"Fatalities",0
"593","GA",1984,"Fatalities",1
"594","GA",1985,"Fatalities",0
"595","GA",1986,"Fatalities",0
"596","GA",1987,"Fatalities",0
"597","GA",1988,"Fatalities",0
"598","GA",1989,"Fatalities",7
"599","GA",1990,"Fatalities",4
"600","GA",1991,"Fatalities",0
"601","GA",1992,"Fatalities",6
"602","GA",1993,"Fatalities",23
"603","GA",1994,"Fatalities",31
"604","GA",1995,"Fatalities",19
"605","GA",1996,"Fatalities",2
"606","GA",1997,"Fatalities",2
"607","GA",1998,"Fatalities",21
"608","GA",1999,"Fatalities",7
"609","GA",2000,"Fatalities",23
"610","GA",2001,"Fatalities",2
"611","GA",2002,"Fatalities",3
"612","GA",2003,"Fatalities",17
"613","GA",2004,"Fatalities",7
"614","GA",2005,"Fatalities",11
"615","GA",2006,"Fatalities",2
"616","GA",2007,"Fatalities",15
"617","GA",2008,"Fatalities",7
"618","GA",2009,"Fatalities",11
"619","GA",2010,"Fatalities",6
"620","GA",2011,"Fatalities",24
"621","HI",1950,"Fatalities",0
"622","HI",1951,"Fatalities",0
"623","HI",1952,"Fatalities",0
"624","HI",1953,"Fatalities",0
"625","HI",1954,"Fatalities",0
"626","HI",1955,"Fatalities",0
"627","HI",1956,"Fatalities",0
"628","HI",1957,"Fatalities",0
"629","HI",1958,"Fatalities",0
"630","HI",1959,"Fatalities",0
"631","HI",1960,"Fatalities",0
"632","HI",1961,"Fatalities",0
"633","HI",1962,"Fatalities",0
"634","HI",1963,"Fatalities",0
"635","HI",1964,"Fatalities",0
"636","HI",1965,"Fatalities",0
"637","HI",1966,"Fatalities",0
"638","HI",1967,"Fatalities",0
"639","HI",1968,"Fatalities",0
"640","HI",1969,"Fatalities",0
"641","HI",1970,"Fatalities",0
"642","HI",1971,"Fatalities",0
"643","HI",1972,"Fatalities",0
"644","HI",1973,"Fatalities",0
"645","HI",1974,"Fatalities",0
"646","HI",1975,"Fatalities",0
"647","HI",1976,"Fatalities",0
"648","HI",1977,"Fatalities",0
"649","HI",1978,"Fatalities",0
"650","HI",1979,"Fatalities",0
"651","HI",1980,"Fatalities",0
"652","HI",1981,"Fatalities",0
"653","HI",1982,"Fatalities",0
"654","HI",1983,"Fatalities",0
"655","HI",1984,"Fatalities",0
"656","HI",1985,"Fatalities",0
"657","HI",1986,"Fatalities",0
"658","HI",1987,"Fatalities",0
"659","HI",1988,"Fatalities",0
"660","HI",1989,"Fatalities",0
"661","HI",1990,"Fatalities",0
"662","HI",1991,"Fatalities",0
"663","HI",1992,"Fatalities",0
"664","HI",1993,"Fatalities",0
"665","HI",1994,"Fatalities",0
"666","HI",1995,"Fatalities",11
"667","HI",1996,"Fatalities",3
"668","HI",1997,"Fatalities",6
"669","HI",1998,"Fatalities",0
"670","HI",1999,"Fatalities",2
"671","HI",2000,"Fatalities",0
"672","HI",2001,"Fatalities",1
"673","HI",2002,"Fatalities",2
"674","HI",2003,"Fatalities",3
"675","HI",2004,"Fatalities",4
"676","HI",2005,"Fatalities",1
"677","HI",2006,"Fatalities",7
"678","HI",2007,"Fatalities",0
"679","HI",2008,"Fatalities",0
"680","HI",2009,"Fatalities",3
"681","HI",2010,"Fatalities",0
"682","HI",2011,"Fatalities",1
"683","IA",1950,"Fatalities",0
"684","IA",1951,"Fatalities",0
"685","IA",1952,"Fatalities",0
"686","IA",1953,"Fatalities",2
"687","IA",1954,"Fatalities",1
"688","IA",1955,"Fatalities",0
"689","IA",1956,"Fatalities",0
"690","IA",1957,"Fatalities",0
"691","IA",1958,"Fatalities",0
"692","IA",1959,"Fatalities",0
"693","IA",1960,"Fatalities",1
"694","IA",1961,"Fatalities",1
"695","IA",1962,"Fatalities",1
"696","IA",1963,"Fatalities",0
"697","IA",1964,"Fatalities",1
"698","IA",1965,"Fatalities",2
"699","IA",1966,"Fatalities",6
"700","IA",1967,"Fatalities",3
"701","IA",1968,"Fatalities",18
"702","IA",1969,"Fatalities",0
"703","IA",1970,"Fatalities",0
"704","IA",1971,"Fatalities",1
"705","IA",1972,"Fatalities",0
"706","IA",1973,"Fatalities",2
"707","IA",1974,"Fatalities",3
"708","IA",1975,"Fatalities",0
"709","IA",1976,"Fatalities",0
"710","IA",1977,"Fatalities",0
"711","IA",1978,"Fatalities",6
"712","IA",1979,"Fatalities",7
"713","IA",1980,"Fatalities",0
"714","IA",1981,"Fatalities",0
"715","IA",1982,"Fatalities",0
"716","IA",1983,"Fatalities",0
"717","IA",1984,"Fatalities",6
"718","IA",1985,"Fatalities",2
"719","IA",1986,"Fatalities",1
"720","IA",1987,"Fatalities",0
"721","IA",1988,"Fatalities",0
"722","IA",1989,"Fatalities",0
"723","IA",1990,"Fatalities",0
"724","IA",1991,"Fatalities",5
"725","IA",1992,"Fatalities",1
"726","IA",1993,"Fatalities",1
"727","IA",1994,"Fatalities",3
"728","IA",1995,"Fatalities",5
"729","IA",1996,"Fatalities",7
"730","IA",1997,"Fatalities",2
"731","IA",1998,"Fatalities",3
"732","IA",1999,"Fatalities",7
"733","IA",2000,"Fatalities",5
"734","IA",2001,"Fatalities",5
"735","IA",2002,"Fatalities",0
"736","IA",2003,"Fatalities",2
"737","IA",2004,"Fatalities",1
"738","IA",2005,"Fatalities",4
"739","IA",2006,"Fatalities",2
"740","IA",2007,"Fatalities",1
"741","IA",2008,"Fatalities",18
"742","IA",2009,"Fatalities",1
"743","IA",2010,"Fatalities",1
"744","IA",2011,"Fatalities",2
"745","ID",1950,"Fatalities",0
"746","ID",1951,"Fatalities",0
"747","ID",1952,"Fatalities",0
"748","ID",1953,"Fatalities",0
"749","ID",1954,"Fatalities",0
"750","ID",1955,"Fatalities",0
"751","ID",1956,"Fatalities",0
"752","ID",1957,"Fatalities",0
"753","ID",1958,"Fatalities",0
"754","ID",1959,"Fatalities",0
"755","ID",1960,"Fatalities",0
"756","ID",1961,"Fatalities",0
"757","ID",1962,"Fatalities",0
"758","ID",1963,"Fatalities",0
"759","ID",1964,"Fatalities",0
"760","ID",1965,"Fatalities",0
"761","ID",1966,"Fatalities",0
"762","ID",1967,"Fatalities",0
"763","ID",1968,"Fatalities",0
"764","ID",1969,"Fatalities",0
"765","ID",1970,"Fatalities",0
"766","ID",1971,"Fatalities",0
"767","ID",1972,"Fatalities",0
"768","ID",1973,"Fatalities",0
"769","ID",1974,"Fatalities",0
"770","ID",1975,"Fatalities",0
"771","ID",1976,"Fatalities",0
"772","ID",1977,"Fatalities",0
